[Header],
Investigator Name,"Su, Wei"
Project Name,The_Hutton_Inst_Ayr_PLTBARV01_20260709
Experiment Name,
Date,2026-07-08
[Manifests],
A,BarleySNP50-JHI-GS_20012062_2A
[Data],
Sample_ID,Sample_Plate,Sample_Name,Project,AMP_Plate,Sample_Well,SentrixBarcode_A,SentrixPosition_A,Super_ID,Order ID,Scanner,Date_Scan,Replicate,Parent1,Parent2,Gender,Igenity_OrderID,Sample_Tests,Sample_Test_Status,Primary_Sample_ID,Secondary_Sample_ID,Organization,BarCode,Animal ID,BarCode 2,Sample Type,Sex
73A020,699493,73A020,109112,398009,D3,209745230002,R05C02,1303044-V_73A020_JHI_Hv50k_P168_D03-62055619,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A020_JHI_Hv50k_P168_D03,73A020,,DNA,
73A021,699493,73A021,109112,398009,E3,209745230007,R05C01,1303044-V_73A021_JHI_Hv50k_P168_E03-62055620,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A021_JHI_Hv50k_P168_E03,73A021,,DNA,
73A022,699493,73A022,109112,398009,F3,209745230007,R05C02,1303044-V_73A022_JHI_Hv50k_P168_F03-62055621,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A022_JHI_Hv50k_P168_F03,73A022,,DNA,
73A023,699493,73A023,109112,398009,G3,209745230009,R05C01,1303044-V_73A023_JHI_Hv50k_P168_G03-62055622,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A023_JHI_Hv50k_P168_G03,73A023,,DNA,
73A024,699493,73A024,109112,398009,H3,209745230009,R05C02,1303044-V_73A024_JHI_Hv50k_P168_H03-62055623,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A024_JHI_Hv50k_P168_H03,73A024,,DNA,
73A025,699493,73A025,109112,398009,A4,209745230001,R07C01,1303044-V_73A025_JHI_Hv50k_P168_A04-62055624,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A025_JHI_Hv50k_P168_A04,73A025,,DNA,
73A026,699493,73A026,109112,398009,B4,209745230001,R07C02,1303044-V_73A026_JHI_Hv50k_P168_B04-62055625,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A026_JHI_Hv50k_P168_B04,73A026,,DNA,
73A027,699493,73A027,109112,398009,C4,209745230002,R07C01,1303044-V_73A027_JHI_Hv50k_P168_C04-62055626,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A027_JHI_Hv50k_P168_C04,73A027,,DNA,
73A028,699493,73A028,109112,398009,D4,209745230002,R07C02,1303044-V_73A028_JHI_Hv50k_P168_D04-62055627,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A028_JHI_Hv50k_P168_D04,73A028,,DNA,
73A029,699493,73A029,109112,398009,E4,209745230007,R07C01,1303044-V_73A029_JHI_Hv50k_P168_E04-62055628,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A029_JHI_Hv50k_P168_E04,73A029,,DNA,
73A030,699493,73A030,109112,398009,F4,209745230007,R07C02,1303044-V_73A030_JHI_Hv50k_P168_F04-62055629,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A030_JHI_Hv50k_P168_F04,73A030,,DNA,
73A031,699493,73A031,109112,398009,G4,209745230009,R07C01,1303044-V_73A031_JHI_Hv50k_P168_G04-62055630,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A031_JHI_Hv50k_P168_G04,73A031,,DNA,
73A032,699493,73A032,109112,398009,H4,209745230009,R07C02,1303044-V_73A032_JHI_Hv50k_P168_H04-62055631,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A032_JHI_Hv50k_P168_H04,73A032,,DNA,
73A033,699493,73A033,109112,398009,A5,209745230001,R09C01,1303044-V_73A033_JHI_Hv50k_P168_A05-62055632,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A033_JHI_Hv50k_P168_A05,73A033,,DNA,
73A034,699493,73A034,109112,398009,B5,209745230001,R09C02,1303044-V_73A034_JHI_Hv50k_P168_B05-62055633,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A034_JHI_Hv50k_P168_B05,73A034,,DNA,
73A035,699493,73A035,109112,398009,C5,209745230002,R09C01,1303044-V_73A035_JHI_Hv50k_P168_C05-62055634,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A035_JHI_Hv50k_P168_C05,73A035,,DNA,
73A036,699493,73A036,109112,398009,D5,209745230002,R09C02,1303044-V_73A036_JHI_Hv50k_P168_D05-62055635,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A036_JHI_Hv50k_P168_D05,73A036,,DNA,
73A037,699493,73A037,109112,398009,E5,209745230007,R09C01,1303044-V_73A037_JHI_Hv50k_P168_E05-62055636,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A037_JHI_Hv50k_P168_E05,73A037,,DNA,
73A038,699493,73A038,109112,398009,F5,209745230007,R09C02,1303044-V_73A038_JHI_Hv50k_P168_F05-62055637,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A038_JHI_Hv50k_P168_F05,73A038,,DNA,
73A039,699493,73A039,109112,398009,G5,209745230009,R09C01,1303044-V_73A039_JHI_Hv50k_P168_G05-62055638,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A039_JHI_Hv50k_P168_G05,73A039,,DNA,
73A040,699493,73A040,109112,398009,H5,209745230009,R09C02,1303044-V_73A040_JHI_Hv50k_P168_H05-62055639,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A040_JHI_Hv50k_P168_H05,73A040,,DNA,
73A041,699493,73A041,109112,398009,A6,209745230001,R11C01,1303044-V_73A041_JHI_Hv50k_P168_A06-62055640,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A041_JHI_Hv50k_P168_A06,73A041,,DNA,
